Lição,Data,Professor,Auxiliar,Observação,Status
Aula 4,31 de agosto de 2025,Thais,Gabriel,,Não realizada
Aula 5,7 de setembro de 2025,Annes,Kenji,,Não realizada
Aula 6,14 de setembro de 2025,Michael,,,Não realizada
Aula 7,21 de setembro de 2025,Sarah Jung,Gabriel,,Não realizada
Aula 8,28 de setembro de 2025,Eduardo,Karin,,Não realizada
Aula 9,5 de outubro de 2025,Annes,,,Não realizada
Aula 10,12 de outubro de 2025,Sarah Jung,Gabriel,,Não realizada
Aula 11,19 de outubro de 2025,Thais,Karin,,Não realizada
Aula 12,26 de outubro de 2025,Eduardo,Kenji,,Não realizada
Aula 13,2 de novembro de 2025,Sarah Jung,,,Não realizada
Aula 14,9 de novembro de 2025,Annes,Michael,,Não realizada
Aula 15,16 de novembro de 2025,Thais,Karin,,Não realizada
Aula Especial de Natal,23 de novembro de 2025,Annes,,,Não realizada
Aula Especial de Natal,30 de novembro de 2025,Eduardo,Gabriel,,Não realizada
Aula Especial Natal,7 de dezembro de 2025,Annes,Karin,,Não realizada
Aula Especial Natal,14 de dezembro de 2025,Sarah Jung,Kenji,,Não realizada
Aula de Natal,21 de dezembro de 2025,Thais,Gabriel,,Não realizada
"Férias ",28 de dezembro de 2025,,,,Não realizada
Recapitulação,2 de fevereiro de 2025,,,,Concluída
Lição 1,9 de fevereiro de 2025,Sarah Jung,,,Concluída
Lição 2,16 de fevereiro de 2025,,Karin,,Concluída
Lição 3,23 de fevereiro de 2025,Sarah Jung,Michael,,Concluída
RETIRO,2 de março de 2025,,,Retiro,Concluída
Lição 4,9 de março de 2025,,,,Concluída
Lição 5,16 de março de 2025,,Kenji,Sermão,Concluída
Lição 6,23 de março de 2025,,Michael,,Concluída
Lição 7,30 de março de 2025,,Sarah Jung,,Concluída
Lição 8,6 de abril de 2025,,,,Concluída
Lição 9,13 de abril de 2025,,,,Concluída
Aula de Páscoa,20 de abril de 2025,,Kenji,,Concluída
Lição 10,27 de abril de 2025,,Karin,,Concluída
Lição 11,4 de maio de 2025,Kenji,Michael,,Concluída
Lição 12,11 de maio de 2025,Kenji,Sarah Jung,Sermão,Concluída
Lição 13,18 de maio de 2025,,,,Concluída
Lição 14,25 de maio de 2025,Michael,,,Concluída
Lição 15,1 de junho de 2025,,Karin,,Concluída
Lição 16,8 de junho de 2025,Michael,,,Concluída
Lição 17,15 de junho de 2025,Annes,Michael,,Concluída
Lição 18,22 de junho de 2025,Sarah Jung,Kenji,,Concluída
Lição 19,29 de junho de 2025,Kenji,,,Concluída
Aula 1 - DANIEL,6 de julho de 2025,Annes,Karin,Férias,Concluída
Aula 2 - DANIEL,13 de julho de 2025,Eduardo,Kenji,Férias,Concluída
Aula 3 - DANIEL,20 de julho de 2025,Sarah Jung,Gabriel,Férias,Concluída
Aula 4 - DANIEL,27 de julho de 2025,Annes,Thais,Férias,Concluída
Aula Abertura,3 de agosto de 2025,Todos,Todos,,Concluída
Aula 1 - Panorama Vida de Jesus,10 de agosto de 2025,Annes,Kenji,,Concluída
Aula 2 - Panorama Vida de Jesus,17 de agosto de 2025,Eduardo,,,Concluída
Aula 3 - Inicio da Revista,24 de agosto de 2025,Sarah Jung,Karin,Início da nova revista,Concluída
